,index,Stilling id,Stillingsbeskrivelse vasket,Registrert dato,Arbeidssted fylke,Arbeidssted land,Yrke grovgruppe
490,106205,9626663,". Lampehuset er en kjede med 50 butikker over hele landet. Vi er den ledende faghandelkjeden innen belysning, og har over 50 års erfaring i bransjen. Med et moderne konsept og stor fagkunnskap vil vi være ditt førstevalg på belysning. Lampehuset. best på lys. Lampehuset søker nå ekstrahjelper ved våre butikker i Bodø sentrum og på. Som selger i Lampehuset er du en svært viktig ressurs. vil du være Lampehusets ansikt utad. Vi ser etter deg som.  Har erfaring fra butikk. Er en god selger. Er glad i å jobbe med mennesker. Elsker å hjelpe kunder med å finne det de trenger. Motiveres av resultater og måloppnåelse. Har både praktisk og estetisk sans. Kan kommunisere godt med våre kunder. I Lampehuset legger vi vekt på grundig veiledning til våre kunder. Lampehuset er en faghandelkjede innen belysning, og som selger i en av våre butikker blir du aldri utlært. Du får jobbe med flotte produkter og får en spennende arbeidshverdag hvor du alltid vil utvikle deg videre. Du vil få god opplæring innen salg og våre produkter, og får være en del av et spennende interiørmiljø. Foruten salg og kundeveiledning er det å jobbe som butikkselger i Lampehuset en fysisk og aktiv jobb, hvor man står, går, løfter og monterer. Arbeidstiden er hovedsakelig kvelder og lørdager. Det er viktig for oss at du kan stille opp ekstra i hektiske perioder, ved ferieavvikling og ved sykdom. Høres dette ut som noe for deg. Kom gjerne innom en av butikkene med din søknad og CV eller send det via Finn i dag. ",2017-08-29,Nordland,Norge,Butikk- og salgsarbeid
491,106670,9621909,"Servicemedarbeidere, kultursenteret. Mosjøen kino Mosjøen kulturhus ser etter kreative, fleksible og engasjerte servicemedarbeidere til kiosk billettluke. Vi søker leder og to medarbeidere som vil bli med og utvikle vår billettluke og kiosk videre. Servicemedarbeider i 30. stilling. Servicemedarbeider i 20. stilling. Arbeidstiden er hovedsaklig på ettermiddag og kveld, samt helger. Det vil bli utarbeidet fleksible turnuser for stillingene. Arbeidsoppgaver. Forestå salg av billetter og kioskvarer og yte service. Ønskede kvalifikasjoner. Gode kommunikasjonsevner, fleksibilitet og evne til ivareta publikum på en god måte, samt noe dataforståelse. Aktuelle søkere vil bli invitert til intervju. Personlig egnethet vil bli sterkt vektlagt. Vi tilbyr. Gode pensjons. og forsikringsordninger. Spennende stilling og et arbeidsmiljø du kommer til å bli glad i. Lønnsvilkår. Lønn ihht gjeldende tariff, kompetanse og ansiennitet. For stillinger i Vefsn kommune. Vefsn kommune benytter elektronisk søknad, og vi ønsker at søkere på våre stillinger bruker dette via våre internettsider: www. vefsn. kommune. no. Ansettelse i kommunen skjer på de vilkår som til enhver tid går frem av gjeldende lover, reglement og tariffavtaler. Kvalifiserte arbeidstakere med fortrinnsrett etter hovedtariffavtalens og arbeidsmiljølovens bestemmelser vil kunne gå foran eksterne søkere. Kvalifiserte søkere uansett alder, funksjonsnedsettelse eller kulturell bakgrunn oppfordres til å søke våre ledige stillinger. Bekreftede kopier av vitnemål og attester bringes med til et eventuelt intervju. Søkerlister blir offentliggjort. Ved tilsetting i enkelte stillinger må det legges fram tilfredsstillende helse. og politiattest (gjelder hovedsakelig stillinger innen helse og oppvekst). klikk her for elektronisk søknad",2017-08-21,Nordland,Norge,Butikk- og salgsarbeid
492,106694,9544378,"Vi søker en dyktig selger til vår bobil. og caravanavdeling i Bjerkvik. Som selger i Bobilnord AS vil du jobbe med anerkjente merkevarer i en bransje som er i sterk vekst. Teamet består i dag av 6 dyktige, inkluderende og humørfylte ansatte som ser frem til å få en ny kollega. Vår nye selger skal sikre høy kvalitet gjennom hele salgsprosessen og bidra til felles salgsvekst. Du samarbeider på tvers i organisasjonen med energi og stå. på. vilje, og vet hvordan du skal bruke ditt nettverk for å skape nye salgsmuligheter. Som selger har du både gjennomføringskraft og fleksibilitet. Vi søker deg som evner å skape tillit hos kunder og kollegaer gjennom kvalitet i ditt salgsarbeid. Arbeidsoppgaver. Salg av bobil og caravan. Planlegging og gjennomføring av salgsaktiviteter. Bistå kunder med finansiering og forsikring. Bygge og opprettholde kundeportefølje. Ansvar for eget salgsbudsjett. Ønskede kvalifikasjoner. Erfaring fra salg av kapitalvarer, gjerne bil eller andre dyre fritidsvarer. Noe teknisk forståelse er en fordel. Behersker IT som arbeidsverktøy. Ønskelig med sertifikat C1 og BE. Har gode kommunikasjonsevner i norsk, muntlig og skriftlig. Kunne kommunisere på engelsk. Personlige egenskaper. Resultatorientert, initiativrik og tillitskapende. Dyktig relasjonsbygger som motiveres av å yte service. Håndterer en hektisk hverdag og innehar et sterkt ønske om å lykkes. Selvstendig, men har også fokus på fellesskap for å nå bedriftens målsettinger. Vi tilbyr. Bedriften tilbyr faglige utviklingsmuligheter og konkurransedyktige betingelser i et profesjonelt og ekspansivt miljø. Gode lønns. og bonusordninger. Eventuelle spørsmål om stillingen kan rettes til seniorrådgiver i Personalhuset,. : tlf. , eller e. post.  og eller avdelingsleder ved Bobilnord i Bjerkvik,. , tlf. ",2017-03-13,Nordland,Norge,Butikk- og salgsarbeid
493,107028,9588738, Er du sulten på nye utfordringer innen salg og vil jobbe med en av Norges sterkeste merkevarer. ,2017-06-02,Nordland,Norge,Butikk- og salgsarbeid
494,107093,9616428,"Til vår butikk på. søker vi etter en dyktig person som er god på kundeservice og personlig salg. Det er meget viktig at du er fleksibel og du bør kunne jobbe både dagtid, kveld og helg, samt ekstra i ferier. Stillingen innebærer ingen faste vakter i måneden. Ringehjelpen vil jobbe etter behov og avtale. Vikariatet varer ut januar 2018. Vi ser etter deg som.  Er dyktig på salg og kundeservice. Har stor interesse for moter og trender. Er selvstendig, positiv, fleksibel og løsningsorientert. Har et stort konkurranseinstinkt og som står på til målet er nådd. Har gode samarbeidsevner og som bidrar til å skape et positivt miljø både for kunder og kolleger. Erfaring fra detaljhandel er ønskelig, men ikke et krav. Du må være fylt 18 år. Om du kjenner deg igjen i beskrivelsen og er klar for masse spennende utfordringer, send søknad og CV til. eller lever søknad i butikk til butikksjef Carmen. NB: Merk e. posten med ringehjelp. Intervjuer vil bli holdt fortløpende. Tiltredelse: Snarest. Søknadsfrist: Snarest. ",2017-08-08,Nordland,Norge,Butikk- og salgsarbeid
495,107441,9507852,". ARK. søker nå butikkmedarbeider til ca 30. . stilling. Arbeidstiden følger turnus og fordeler seg på dagtid, kveld og helger med henholdsvis 12 timer i uken. Det forventes fleksibilitet med hensyn til ferieavvikling, sykdom og ellers ved behov i travle perioder.  . Dine arbeidsoppgaver vil i hovedsak bestå av aktivt salgsarbeid, sikre fornøyde kunder, utpakking og prising av varer. I tillegg skal du sørge for at butikken til enhver tid ser innbydende ut for kunden og utføre de oppgaver butikksjef pålegger deg. Som person er du ansvarsfull og du bidrar aktivt til å skape et godt arbeidsmiljø. Det er en fordel om du har interesse for bøker og liker å jobbe med salg. Personlig egnethet vektlegges. Vi kaller inn til intervju fortløpende. Oppstart snarest.  . 	Er over 18 år . 	Har kremmerånd og elsker å selge  . 	Har gode holdninger . 	Har godt humør . 	Er utadvendt og kontaktsøkende mot kunder . 	Er fleksibel og positiv . 	Behersker norsk skriftlig og muntlig . Hvis det er deg vi beskriver oppfordrer vi til å sende inn CV og søknad.  . Vi vet du vil trives i en organisasjon som har tydelige mål og møter utfordringene med entusiasme og pågangsmot i en bransje i utvikling. Vi tenker langsiktig og er ansvarsbevisste på vegne av fellesskapet og vi har omtanke for hverandre. Vi har det gøy på veien mot målet.  . ARK Bokhandel . Butikk. Nett. Mobil . Favorittbokhandelen til folk flest og de som elsker bøker.  . Søk på stillingen. ",2017-01-05,Nordland,Norge,Butikk- og salgsarbeid
496,107620,9629509,". er et heleid datterselskap av O. N. Sunde AS, som eies 100. av. med familie. Voice driver kjedekonseptene Match, VIC og Boys of Europe. Selskapet har ca 220 butikker i Norge og mer enn 1. 300 ansatte. Match har etablert seg som en av Norges største heleide kleskjede med hele 109 butikker. Kjeden har hatt enestående suksess de siste to årene, og under kjøpesenterkonferansen 2016 ble Match kåret til årets butikkjede, en utmerkelse som henger høyt og som Match er svært stolt over å motta. Kjeden tilbyr dame. og herreklær med høy kvalitet til verdi for pengene. I Match er service og kvalitet i fokus og det jobbes kontinuerlig med å sikre en optimal handleopplevelse for kunden. Vi søker to dyktige superselgere til 15. stilling, med stort pågangsmot som trives med å jobbe mot felles mål. Du er imøtekommende av natur, sosial og har en stor interesse for mote og trender. Vårt mål er at alle våre kunder skal få en positiv handleopplevelse, og vi er stolte av å kunne tilby produkter av høy kvalitet. Ansettelse etter avtale. 15. Arbeidsoppgaver.  Bidra til sunn drift av butikk, eventyrlige salgstall og oppnåelse av budsjett. Varehåndtering og oppfølging av kampanjer og salgsaktiviteter. Yte til enhver tid den beste kundeservicen i bransjen. Personlige egenskaper. Resultatorientert og samarbeidsvillig med stor arbeidskapasitet. Kreativ og har evnen til å inspirer andre. Trives i et fartsfylt miljø. Kvalifikasjoner.  Fullført videregående skole og oppnådd generell studiekompetanse. Relevant arbeidserfaring kan kompensere for manglende utdannelse. Har salgserfaring fra tilsvarende bransje. Er fleksibel og kan stille opp i ukedager og helger, samt ferier og når butikken har behov. Vi tilbyr.  Muligheten til å jobbe med produkter av høy kvalitet i et dynamisk selskap. Gode karriere. og utviklingsmuligheter i et veletablert konsern. Konkurransedyktige betingelser. Fantastiske personalkjøpsordninger. Link til søknadsskjema: Send søknad",2017-09-04,Nordland,Norge,Butikk- og salgsarbeid
497,107687,9593414,"Vi søker etter Sommervikar. Butikkmedarbeider. Er du over 18 år og på jakt etter sommerjobb. Arbeidstid: I perioden juni, juli, august. Tiltrede i stillingen: Etter avtale. Arbeidsoppgaver som: Kassaarbeid, kundebehandling, påfylling av varer og annet tilhørende butikkarbeid. Vi kan tilby.  	En spennende og varierende jobb, med høyt tempo og daglige utfordringer. 	Hyggelige medarbeidere og et positivt arbeidsmiljø. 	Konkurransedyktig lønn og gode betingelser. Dine kvalifikasjoner.  	Salg og service innstilt. 	Ha et godt humør og liker å omgås mennesker. 	Løsningsorientert og lærevillig. 	Være fleksibel med tanke på arbeidstid. (lørdags arbeid). Foretrukne egenskaper.  	Søkere må være fylt 18 år. 	Relevant erfaring fra butikk handel. 	Sertifikat : Førerkort: Klasse B (ikke et krav). 	Ha grunnleggende datakunnskaper. (ikke et krav). Stillingen vil være 100. , 37,5 t pr uke snitt. Ønsker du ytterligere opplysninger om stillingen, nøl ikke med å ta kontakt.  Asle T. Lyngøy. mobil.  90 Søknad med CV sendes snarest og senest 20. juni til. . ",2017-06-12,Nordland,Norge,Butikk- og salgsarbeid
498,107814,9651466,". Vi ser etter deg som er positiv og liker å yte service. Våre vikarer tilbakemelder at dette er en hyggelig ekstrajobb. vi trenger flere glade kolleger. Dette passer godt til både godt voksne og til studenter, det er viktig at du kan starte kl 12 fredager. Våre medarbeidere som har dette som tilkallingsjobb stortrives. er du glad i mennesker og liker service er dette en hyggelig helgejobb du vil trives i. Jobben er enkel og veldig hyggelig og vi ser etter positive og salgsrettede medarbeidere til disse oppdragene. Arbeidsoppgaver. Presentere pålegg og matvarer i butikkSette opp en liten stand og pakke den ned etter brukFylle inn enkel informasjon på web og ta bilde av stand og butikk . Ønskede kvalifikasjoner. Må kommunisere meget godt på norskOver 18 år . Personlige egenskaper. Positiv og omgjengeligLiker å promotere stå på standServicerettetGlad i mennesker . Vi tilbyr. 180 kr timen Ordnede arbeidsforholdGod oppfølging og vi er bare en telefonsamtale unna Innføring i oppdrag før du starter og underveis om nødvendig . Arbeidstid. Fredag 12. 18. Lørdag 11. 17 .  . Du kan søke stillingen via websiden eller på mail til. ",2017-10-12,Nordland,Norge,Butikk- og salgsarbeid
499,108123,9586342,"Ledig helgestilling, annenhver helg. snarlig tilredelse. EGENSKAPER. Som salgsmedarbeider hos oss inngår du i et team som skal sørge for at kundene våre får en god handleopplevelse. Du er en fordel at du er. Serviceinnstilt og utadvendt. Flink med Salg . Ærlig og pålitelig. Strukturert og punktlig. Fleksibel. Selvstendig. Renslig. Vi tilbyr deg.  En spennende jobb i et konsept med fokus på kvalitet og service. Egne ansvarsområder i butikken. Full teoretisk og praktisk opplæring. En utfordrende og til tider hektisk jobb.  Lønn etter tariff. Erfaring fra serviceyrket er ingen betingelse, men vil bli vektlagt. Det påregnes ekstra arbeid ved sykdom, ferier og ved høytider. Søker må være over 18 år . Dersom du har spørsmål vedrørende stillingene ta kontakt med daglig leder. , tlf.  eller e. post.  a. ",2017-05-30,Nordland,Norge,Butikk- og salgsarbeid
500,108361,9615016,"Vi søker selger til ettermiddag og lørdagsjobbing, samt i ferier og ved sykdom. Er du ansvarsbevist, som kan ivareta og bidra til optimal kundetilfredshet, som kan kundebehandling eller har en ide om hvordan man skal behandle kunden, samt opprettholde en god standard i butikk. Velkommen med søknad. Deltid hovedsaklig lørdager og kveld. noe ekstra i ferietiden. Stillingene passer fint for studenter eller andre som vil jobbe på ettermiddag og lørdager. Du må være fleksibel på arbeidstid. og kunne stille på kort varsel ved behov. Den vi søker har følgende egenskaper . Gode datakunnskaper. Målbevisst og nøyaktig. og salgserfaring. Kundefokusert. Stå på humør. Selvgående, kreativ og initiativrik. søknader mottas helst pr e. post. AS gjennomfører rutinemessig Semac bakgrunnskontroll i ansettelsesprosessen",2017-08-03,Nordland,Norge,Butikk- og salgsarbeid
501,108614,9617754,". Mye av dagen går i kundebesøk og oppsøkende aktivitet i SMB markedet. salget foregår for det meste ute hos kundene. Arbeidsoppgaver. Systematisk markedsføring og salg nåværende og nye kunderBygge profesjonelt nettverk og kundeporteføljeGjennomføre presentasjoner av produkter løsninger hos kunderHolde foredrag og delta aktivt i næringsforeningerUtarbeide og skreddersy tilbud, delta aktivt i forhandlinger og kontraktsutarbeidelserLogging og enkel rapportering. Ønskede kvalifikasjoner. Har drevet med markedsføring og salg mot bedriftssegmentKan vise til gode oppnådde salgsresultaterMeget god på kommunikasjon. muntlig og skriftligEvner å jobbe strukturert og oppdatert på hva som skjer i ditt markedsområde. Personlige egenskaper. Drives av salg. trives med oppsøkende salgProaktiv, profesjonell og engasjertAktiv bidragsyter til et godt og positivt arbeidsmiljøTillitsvekkende framtoning. du selger på tillit. Har konkurranseinstinkt og er målrettetTør å ta ansvar og være aktiv medspiller internt og eksternt. Vi tilbyr. Konkurransedyktige lønnsbetingelser er en selvfølgeSpennende arbeidsplass med mange muligheterMeget godt miljø med dyktige, kompetente og entusiastiske kollegerGod produktopplæring og innføring i bedriftens tjenesterFaglig støtte og veiledning og gode faglige utviklingsmuligheterSeriøs arbeidsgiver i sterk vekstOrdnede arbeidsforholdStort ansvar og frihet til å påvirke utviklingen fremoverInterne fagsamlinger og KickOff. Vi ser fram til å høre fra deg. ",2017-08-10,Nordland,Norge,Butikk- og salgsarbeid
502,108684,9645829,"SKORINGEN MO I RANA SØKER BUTIKKMEDARBEIDER I 50. STILLING. Vi søker en serviceinnstilt person som elsker sko og det å selge. Vi tilbyr en spennende, variert og travel hverdag sammen med vårt team av dyktige medarbeidere. Søknadsfrist: 18. oktober. For spørsmål ta kontakt med. mobil. , mail.  Send kortfattet søknad med CV på mail evt. lever deni Butikken. Skoringen er den største skobutikken i Mo og ligger midt i Gågata vis a vis AMFI og eies av B. som driver 7 andre Skobutikker i MidtNorge. ",2017-10-04,Nordland,Norge,Butikk- og salgsarbeid
503,109095,9594848,"SPAR. kjeden er NorgesGruppens profilkjede for lokale supermarkeder. Kjeden består av ca 260 lokale supermarkeder spredt over hele Norge. Merkevaren SPAR forvaltes og driftes av. AS, NorgesGruppens profilhus for kjøpmannseide butikker. De største butikkene i SPAR. kjeden heter EUROSPAR og består av ca 27 supermarkeder på landsbasis. EUROSPAR har et bredere varesortiment og gir kundene et stort utvalg innen ferskvarer, ferdigmat, fisk og ost. I EUROSPAR legger vi vekt på å gi kunden den beste lokale handleopplevelsen og gode tilbud hver uke. I EUROSPAR er vi opptatt av å gi kunden det lille ekstra ved å tilby god personlig service. I EUROSPAR legger vi vekt på lokal tilhørighet og vi søker deg som vil være med å skape den beste lokale handleopplevelsen, hver dag. hele året, for hver eneste kunde. Du må være en positiv «lagleder» som ivrer for salg. Du må like å oppnå resultater sammen med andre og få engasjerte medarbeidere til å jobbe mot felles mål. Planlegging og gjennomføring av kampanjer og sesong. Oppfølging av salg, bruttofortjeneste og kostnader. Innkjøp og kvalitetskontroll av varer til avdelingen. Stykking pakking, eksponering, orden og renhold. Kundebehandling. Ønskede kvalifikasjoner. Du «brenner» for mat og matlaging. Du er systematisk, selvstendig og resultatorientert. Du har gode leder. , og samarbeidsegenskaper. Du har stå. på vilje, godt humør og er serviceinnstilt. Du må kunne sette deg inn i, og bruke våre data. tekniske verktøy for optimal bestilling salg. Relevant utdanning og erfaring er en fordel, men personlige egenskaper vektlegges. Vi kan tilby. Nøkkelstilling i butikken i en kjede som satser på Ferskvare. Interessant stilling i et hektisk og trivelig miljø. Opplæring og videreutvikling gjennom kjedens utviklingsprogrammer. Konkurransedyktige betingelser. For å søke på stillingen følger du søknadslinken.   Vi foretar bakgrunnskontroller fra Semac AS ved rekruttering til våre butikker.   Vi ser frem til å motta din søknad via søknadslinken. Link til søknadsskjema: Send søknad",2017-06-14,Nordland,Norge,Butikk- og salgsarbeid
504,109189,9617610,". Stillingene er i utgangspunktet mellom 60. og 100. , det vil ofte være mulighet for ekstra vakter om ønskelig. Opplæring vil foregå i butikk, samt kurs i Oslo. Dersom du ønsker å satse innen faget, har vi store utviklingsmuligheter via utvidede kurs og utdanning. Optikk er et detaljefokusert fagfelt. Du må være punktlig, strukturert og nøye. Du må trives med å møte mange nye mennesker hver dag og må møte kundene med et smil om munnen. Du vil opparbeide deg mye erfaring innen kundebehandling og service. Vi oppfordrer søkere i alle aldersgrupper (du må være myndig). Du trenger ikke å ha jobbet i optiker. butikk før, men må være ivrig etter å lære. Legg CV ved søknaden. Vi gleder oss til å høre fra deg. ",2017-08-10,Nordland,Norge,Butikk- og salgsarbeid
505,109215,9593259,". Glad i ungdom og sunn mat. Ledig 56. ettårig vikariat som kantine. miljøarbeider fra 1. august 2017. Vi søker en engasjert og positiv medarbeider som kan jobbe som kantine. miljøarbeider ved Meløy videregående skole, studiested Inndyr. Den som tilsettes må ha fokus på hva som er god og næringsrik kost, og tilby sunne og fristende måltider (frokost og lunsj) for skolens elever. Du vil få ansvar for enkel matlaging, innkjøp, HMS. rutiner, salg og oppgjør. Vi ønsker oss en medarbeider som er kreativ og positiv i møte med ungdommen. Skolen deltar i programmet Drømmeskolen i regi av Voksne for barn. Den som tilsettes må følge opp intensjonene i dette programmet, og samarbeide med elver og ansatte om ulike aktiviteter. Relevant utdanning og praksis er ønskelig. Lønn etter avtale. For mer informasjon, kontakt studierektor. , tlf. Kontaktinformasjon. , Studierektor, .  Inndyr. Nøkkelinformasjon.  Ref. nr. For elektronisk søknadsskjema. ",2017-06-12,Nordland,Norge,Butikk- og salgsarbeid
506,109423,9616579,". Lyst på litt mer ansvar.  . Vi på. søker dyktig butikksjef til en deltidsstilling (dag, kveld og helg). Som butikksjef i Narvesen er du en viktig ressurs for å sikre at våre kunder har en god handleopplevelse. Du må kunne jobbe raskt og effektivt, og samtidig sørge for at kundene behandles på en måte som gjør at de ønsker å komme tilbake. Vi ønsker personer med teft for salg og service, som er ansvarsfulle og liker å jobbe selvstendig. Du må ha øye for detaljer og logistikk, takle stress og ikke minst ha godt humør. Har du i tillegg erfaring fra lignende arbeid er det fint, men ingen betingelse.   . Vi har høye forventninger til deg som jobber hos oss, og du kan forvente det samme av oss. Til gjengjeld tilbyr vi en arbeidsplass i et miljø der folk trives.     . Vi ser frem til å motta søknad fra deg.   . Søk på stillingen. ",2017-08-08,Nordland,Norge,Butikk- og salgsarbeid
507,109845,9668846,". og Selection er en av Nordens ledende rekrutteringsaktører med 40 kontorer. Vi tilbyr bistand med rekruttering av ledere, fagspesialiseter og medarbeidere. Våre dyktige rådgivere har solid erfaring og lokal forankring. Vi bistår med rekrutteringsoppdrag innen alle bransjer, både i privat og offentlig sektor. Vår visjon er å være avgjørende for våre kunders suksess. og Selection er endel av. Albert E. Olsen AS. Albert E Olsen (AEO) er et landsdekkende industrivarehus. Vi leverer drift og vedlikeholdsprodukter til profesjonelle kunder i privat og offentlig sektor, og er ledende leverandør av kjente merkevarer og kvalitetsprodukter. AEO med hovedkontor i Trondheim, er blant landets eldste innen bransjen. Selskapet ble stiftet i 1902. I dag dekker virksomheten det meste av landet, fra Oslo i sør til Kirkenes i Nord. AEO er et 100 prosent familieeid selskap. Konsernet omsetter for omlag 500 millioner kroner, og har totalt 175 medarbeidere knyttet til virksomhetene. Vårt marked rettes hovedsakelig mot kunder innenfor landbasert industri, offshore, Byggmestere og entreprenører. Vi søker her etter deg som har kompetanse på sveis og sveiseutstyr. Vi er opptatt av å møte kandidater som har erfaring fra sveisebransjen og som kan bli gode kunderådgivere. Arbeidsoppgaver. Aktivt salg av selskapets tekniske produkter. Personlig kundebehandling. Arbeidstid. Butikkens åpningstider er mellom 07. 00. 16. 00 5 dager i uka. Ønskede kvalifikasjoner. Erfaring fra mekanisk industri. God kjennskap til produktene fra annen stilling. Personlige egenskaper. Arbeider strukturert. Er løsningsorientert. Selvstendig, men samtidig arbeide godt i team. Har førerkort for bil. Vi tilbyr. En grundig opplæring i produktporteføljen gjennom AEO. s egne opplæringsprogrammer. Konkurransedyktig lønn. Innskuddsbasert pensjonsordning. Varierte og utfordrende arbeidsoppgaver i et spennende og faglig godt handelsmiljø. Stillingen inngår i butikkteamet med salg, ekspedering av kunder, reolansvar samt annet som naturlig hører inn under arbeidsoppgavene i et industrivarehus. Moderne, elektroniske planleggingsverktøy. Stillingen rapporterer til butikkleder. Ytterligere informasjon om stillingen kan rettes til.  på tlf: 751 27440 eller. på telefon 915 36512. Søknad og CV merkes "". "" bes sendes snarest til Personalhuset v Svein G. Bergvin mail.  mob. 400 11425. Søknadsfrist: 26. 11. 2017 Se våre nettsider www. aeo. no, for mer informasjon. ",2017-11-13,Nordland,Norge,Butikk- og salgsarbeid
508,109926,9600994,"Vi ønsker oss en offensiv og kreativ person som kan bidra i en allsidig hverdag. Vi ser etter en attraktiv og tillitsvekkende selger som lett kommer i dialog med mennesker. Interesse for salg og interiør er en forutsetning for å lykkes. Hos oss vil du bli en viktig del av et spennende og til tider hektisk miljø. Det vil bli gitt nødvendig opplæring i produkter, løsninger og arbeidsverktøy, men engasjementet, serviceinnstillingen og viljen til å lykkes må komme fra deg. Søknad sendes. eller. , Sømnaveien 159, 8907 Brønnøysund. Merk søknad: Vanja",2017-06-27,Nordland,Norge,Butikk- og salgsarbeid
509,109946,9605823,". er det følgende stillinger ledig.  Selger: Vi søker deg som liker å arbeide med salg, og som ønsker å gjøre det ytterste for våre kunder. Du har interesse for, og helst erfaring fra butikkdrift. Det er viktig at du er opptatt av mote, trender, stiler og farge. Stillingen er på 5 timer pr uke. Ringehjelp: Som ekstrahjelp kontakter vi deg ved sykdom, ferie, eller hvis det oppstår ekstra behov. Du må derfor ha mulighet til å kunne kontaktes på kort varsel. Det forutsettes at du har følgende egenskaper og kvalifikasjoner.  gjennomført og bestått 3. årig videregående skole, med studiekompetanse. har gode norsk. og engelskkunnskaper, både skriftlig og muntlig. er over 18 år og kan arbeide både dag, kveld, og lørdager. har gode samarbeidsevner, og er blid, positiv og ærlig. liker å arbeide i et hektisk og travelt miljø. har datakunnskaper. Arbeidstiden er varierende, og man må påregne å jobbe kveld, samt to lørdager i måneden. Vi tilbyr en spennende arbeidsplass med gode utviklingsmuligheter og ordnede arbeidsforhold, gode forsikringsordninger og gunstige personalrabatter. Vil du vite mer om stillingen ta kontakt med butikksjef. på telefon. Dersom du er interessert i stillingen, bes du sende inn din søknad via søknadsportalen på denne siden. Søknad uten attester og vitnemål vil ikke bli vurdert. Søknadsfrist snarest. Tiltredelse 01. 08. 2017. Fullstendig informasjon og søknad via denne siden. ",2017-07-05,Nordland,Norge,Butikk- og salgsarbeid
510,110704,9680533,". SPAR. kjeden er NorgesGruppens profilkjede for lokale supermarkeder. Kjeden består av ca 300 lokale supermarkeder spredt over hele Norge. Merkevaren SPAR forvaltes og driftes av. AS, NorgesGruppens profilhus for kjøpmannseide butikker. I SPAR legger vi vekt på å gi kunden den beste lokale handle opplevelsen og gode tilbud hver uke. I SPAR er vi opptatt av å gi kunden det lille ekstra ved å tilby god personlig service. I SPAR legger vi vekt på lokal tilhørighet og vi søker deg som vil være med å skape den beste lokale handleopplevelsen, hver dag. hele året, for hver eneste kunde. SPAR søker en dyktig og engasjert butikksjef med totalansvar for personalledelse samt butikkens drift og resultater. Butikksjefens arbeidsoppgaver. Drifte butikken i tråd med kjedens profil og driftskonsept. Budsjett. og resultatoppnåelse i butikken. Oppfølging av salg, bruttofortjeneste og kostnader. Motivere og utvikle medarbeidere gjennom godt lederskap. Personalledelse, rekruttering, opplæring og utvikling. Ønskede kvalifikasjoner. Du har ledererfaring og er en god rollemodell for dine medarbeidere. Butikkerfaring er en fordel, men ikke en forutsetning. Du er resultatorientert og har forståelse for nøkkeltall. Økonomisk utdanning bakgrunn er ønskelig. Du har stå. på vilje, godt humør og er serviceinnstilt. Du er engasjert, folkelig og hjelpsom. Gode norskkunnskaper muntlig og skriftlig. Gode samarbeidsevner og godt humør vil hjelpe deg å lykkes i jobben. Vi kan tilby. Spennende jobb i et hektisk og trivelig miljø. Utfordrende og varierte arbeidsoppgaver. Gode personalkjøpsordninger. Lederutdanning og videreutvikling. Konkurransedyktige betingelser. For å søke på stillingen følger du søknadslinken. Vi foretar bakgrunnskontroller fra Semac AS ved rekruttering til våre butikker. ",2017-12-04,Nordland,Norge,Butikk- og salgsarbeid
511,111948,9592626,"Jobbnorge ID: 139402. Til vår butikk. søker vi nå etter flere kundefokuserte og serviceinnstilte butikkmedarbeidere helg. Som butikkmedarbeider vil dine sentrale arbeidsoppgaver være.  Kundeservice. Kassearbeid. Varepåfylling. Annet forefallende butikkarbeid. Hva ser vi etter. Engasjerte og positive butikkmedarbeidere med kunden i fokus. Du er arbeidsom og trives med fysisk butikkarbeid. Du jobber godt selvstendig og i team. Du er ærlig, pliktoppfyllende og ansvarsfull . Du er over 18 år og behersker norsk godt. Hva kan du forvente av oss. I. er vi opptatt av å ta vare på og utvikle våre talenter. Vi tilbyr gode utviklingsmuligheter gjennom blant annet vårt interne ledertreningsprogram, og årlige salg og service kurs. Vi er en trygg arbeidsgiver, og vi tilbyr konkurransedyktig betingelser. Søknad, CV og vedlegg sendes elektronisk via lenke på denne siden, ""Søk stillingen"". Søknadsfrist: 25. 06. 2017. Se annonsen og søk på stillingen www. jobbnorge. no",2017-06-09,Nordland,Norge,Butikk- og salgsarbeid
